婉约与豪放,词内容
婉约,正是辘轳金井，满砌落花红冷，蓦地一相逢，心事眼波难定。谁省？谁省？从此簟纹灯影。
豪放,炀帝行宫汴水滨，数株残柳不胜春。  晚来风起花如雪，飞入宫墙不见人。
婉约,卷尽愁云，素娥临夜新梳洗。暗尘不起，酥润凌波地。辇路重来，仿佛灯前事。情如水，小楼熏被，春梦笙歌里。
婉约,霭霭春空，画楼森耸凌云诸。紫薇登览最关情，绝妙夸能赋。惆怅相思迟暮，记当日、朱阑共语。塞鸿难问，岸柳何穷，另I」愁纷絮。催促年光，旧来流水知何处？断肠何必更阳，极目伤平楚。晚霁波声带雨，悄无人舟横野渡。数峰江上，芳草天涯，参差烟树。
豪放,平生自负，风流才调。口儿里、道知张陈赵。唱新词，改难令，总知颠倒。解刷扮，能哄嗽，表里都峭。每遇著、饮席歌筵，人人尽道。可惜许老了。阎罗大伯曾教来，道人生、但不须烦恼。遇良辰，当美景，追欢买笑。剩活取百十年，只恁厮好。若限满、鬼使来追，待倩个、掩通著到。
豪放,木叶下君山。空水漫漫。十分斟酒敛芳颜。不是渭城西去客，休唱阳关。醉袖抚危栏，天淡云闲。何人此路得生还？回首夕阳红尽处，应是长安。
婉约,繁灯夺霁华，戏鼓侵明发。物色旧时同，情味中年别。浅画镜中眉，深拜楼中月。人散市声收，渐入愁时节。
豪放,墨云拖雨过西楼。水东流，晚烟收。柳外残阳，回照动帘钩。今夜巫山真个好，花未落，酒新笞。美人微笑转星眸。月华羞，捧金瓯。歌扇萦风，吹散一春愁。试问江南诸伴侣，谁似我，醉扬州。
婉约,红绣被，两两间鸳鸯。不是鸟中偏爱尔，为缘交颈睡南塘。全胜薄情郎。
婉约,午梦初回，卷帘尽放春愁去。长昼无伴，自对黄鹂语。絮影骚香，春在无人处。移舟去，未成新句，一研梨花雨。
婉约,独立寒阶望月华，露浓香泛小庭花，绣屏愁背一灯斜。云雨自从分散后，人间无路到仙家，凭魂梦访天涯。
豪放,万顷风涛不记苏，雪晴江上麦千车。但令人饱我愁无。  翠袖倚风萦柳絮，绛唇得酒烂樱珠。樽前呵手镊霜须。
婉约,春色将阑，莺声渐老。红英落尽青梅小。画堂人静雨蒙蒙，屏山半掩余香袅。密约沉沉，离情杳杳。菱花尘满慵将照。倚楼无语欲销魂，长空黯淡连芳草。
豪放,凭栏试觅红楼句，听考考、城头暮鼓。数骑翩翩度孤戍，尽雕弓白羽。  平生正被儒冠误，待闲看、将军射虎。朱槛潇潇过微雨，送斜阳西去。
婉约,莺嘴啄花红溜，燕尾剪波绿皱。指冷玉笙寒，吹彻小梅春透。依旧，依旧，人与绿杨俱瘦。
婉约,纤云弄巧，飞星传恨，银汉迢迢暗度。金风玉露一相逢，便胜却、人间无数。柔情似水，佳期如梦，忍顾鹊桥归路。两情若是久长时，又岂在、朝朝暮暮。
豪放,寒眼乱空阔，客意不胜秋。强呼斗酒，发兴特上最高楼。舒卷江山图画，应答龙鱼悲啸，不暇顾诗愁。风露巧欺客，分冷入衣裘。  忽醒然，成感慨，望神州。可怜报国无路，空白一分头。都把平生意气，只做如今憔悴，岁晚若为谋。此意仗江月，分付与沙鸥。
婉约,粉上依稀有泪痕，郡庭花落欲黄昏，远情深恨与谁论？记得去年寒食日，延秋门外卓金轮，日斜人散暗销魂。
婉约,豆蔻梢头春色浅，新试纱衣，拂袖东风软。红日三竿帘幕卷，画楼影里双飞燕。拢鬓步摇青玉碾，缺样花枝，叶叶蝶儿颤。独倚阑干凝望远，—川烟草平如剪。
婉约,金谷年年，乱生春色谁为主？余花落处，满地和烟雨。又是离歌，一阕长亭暮。王孙去，萋萋无数，南北东西路。
豪放,南朝千古伤心事，犹唱后庭花。旧时王谢，堂前燕子，飞向谁家？恍然一梦，仙肌胜雪，宫髻堆鸦。江州司马，青衫泪湿，同是天涯。
豪放,燕子楼中，又捱过、几番秋色。相思处、青年如梦，乘鸾仙阙。肌玉暗消衣带缓，泪珠斜透花钿侧。最无端、蕉影上窗纱，青灯歇。曲池合，高台灭。人间事，何堪说。向南阳阡上，满襟清血。世态便如翻覆雨，妾身元是分明月。笑乐昌、一段好风流，菱花缺。
豪放,"卧看西湖烟渚，绿盖红妆无数。帘卷曲栏风,拂面荷香吹雨。归去，归去，笑损花边鸥鹭。"
婉约,涨西湖、半篙新雨，麴尘波外风软。兰舟同上鸳鸯浦，天气嫩寒轻暖。帘半卷，度一缕、歌云不碍桃花。莺娇燕婉。任狂客无肠，王孙有恨，莫放酒杯浅。垂杨岸、何处红亭翠馆？如今游兴全懒。山容水态依然好，惟有绮罗云散。君不见，歌舞地，青芜满目成秋苑。斜阳又晚，正落絮飞花，将春欲去，目断水天远。
豪放,五里滩头风欲平，张帆举棹觉船轻。柔橹不施停・却棹，是船行。满眼风波多闪烁，看山恰似走来迎。子细看山山不动，是船行。
婉约,雨晴烟晚，绿水新池满。双燕飞来垂柳院，小阁画帘高卷。黄昏独倚朱栏，西南新月眉弯。砌下落花风起，罗衣特地春寒。
豪放,江南忆，最忆是杭州。山寺月下寻桂子，郡亭枕上看潮头。何日更重游？
豪放,休舞银貂小契丹，满堂宾客尽关山。从今袅袅盈盈处，谁复端端正正看！模泪易，写愁难。潇湘江上竹枝斑。碧云日暮无书寄，寥落烟中一雁寒。
婉约,寒正欺病酒，掩沉香绣户。燕来晚、飞入西城，似说春事退暮。画船载、清明过却，晴烟冉冉吴宫树。念羁情、游荡随风，化为轻絮。十载西湖，傍柳系马，趁娇尘软雾。溯红渐招入仙溪，锦儿偷寄幽素，倚银屏、春宽梦窄，断红湿、歌纨金缕。暝堤空，轻把斜阳，总还鸥鹭。幽兰旋老，杜若还生，水乡尚寄旅。别后访、六桥无信，事往花委，瘗玉埋香，几番风雨。长波妒盼，遥山羞黛，渔灯分影春江宿。记当时、短楫桃根渡，青楼仿佛，临分败壁题诗，泪墨惨淡尘土。危亭望极，草色天涯，叹鬓侵半芒。暗点检、离痕欢唾，尚染鲛绡，亸凤迷归，破鸾慵舞。殷勤待写，书中长恨，蓝霞辽海沉过雁。漫相思、弹入哀筝柱。伤心千里江南，怨曲重招，断魂在否？
豪放,洛阳城里春光好，洛阳才子他乡老。柳暗魏王堤，此时心转迷。  桃花春水渌，水上鸳鸯浴。凝恨对残晖，忆君君不知。
婉约,江头又见新秋，几多愁。塞草连天，何处是神州？英雄恨，古今泪，水东流。惟有渔竿，明月上瓜洲。
婉约,山阴久客，一再逢春，回忆西杭，渺然愁思山空天入海，倚楼望极，风急暮潮初。一帘鸠外雨，几处闲田，隔水动春锄。新烟禁柳，想如今、绿到西湖。犹记得、当年深隐，门掩两三株。愁余。荒洲古溆，断梗疏萍，更飘流何处。空自觉、围羞带减，影怯灯孤。长疑即见桃花面，甚近来、翻致无书。书纵远，如何梦也都无。
豪放,雪晓清笳乱起，梦游处、不知何地。铁骑无声望似水。想关河：雁门西，青海际。睡觉寒灯里，漏声断，月斜窗纸。自许封侯在万里，有谁知？鬓虽残，心未死。
婉约,泪湿阑干花着露，愁到眉峰碧聚。此恨平分取，更无言语空相觑。断雨云无意绪，寂寞朝朝暮暮。今夜山深处，断魂分付，潮回去。
豪放,汉中开汉业，问此地，是耶非？想剑指三秦，居王得意，一战东归。追亡事，今不见，但山川满目泪沾衣。落日胡尘未断，西风塞马空肥。一编书是帝王师，小试去征西。更草草离筵，匆匆去路，愁满旌旗。君思我，回首处，正江涵秋影雁初飞。安得车轮四角，不堪带减腰围。
豪放,秋风清，秋月明。叶叶梧桐槛外声。难教归梦成。砌蜜鸣，树鸟惊。塞雁行行天际横。偏伤旅客情。
豪放,七朝文物旧江山。水如天。莫凭阑。千古斜阳，无处问长安。更隔秦淮闻旧曲，秋已半，夜将阑。争教潘鬓不生斑？敛芳颜。抹幺弦。须记琵琶，子细说因缘。待得鸾胶肠已断，重别日，是何年？
婉约,寒蝉凄切，对长亭晚，骤雨初歇。都门帐饮无绪，留恋处，兰舟催发，执手相看泪眼，竟无语凝噎。念去去千里烟波，暮霭沉沉楚天阔。多情自古伤离别，更那堪、冷落清秋节。今宵酒醒何处？杨柳岸，晓风月。此去经年。应是良辰好景虚设。便纵有千种风情，更与何人说。
婉约,卷絮风头寒欲尽，坠粉飘香，日日红成阵。新酒又添酒困，今春不减前春恨。蝶去莺飞无处问，隔水高楼，望断双鱼信。恼乱横波秋一寸，斜阳只与黄昏近。
婉约,花前月下暂相逢。苦恨阻从容。何况酒醒梦断，花谢月朦胧。花不尽，月无穷。两心同。此时愿作，杨柳千丝，绊惹春风。
婉约,归梦寄吴樯，水驿江程去路长。想见芳洲初系缆，斜阳，烟树参差认武昌。愁鬓点新霜，曾是朝衣染御香。重到故乡交旧少，凄凉，却恐他乡胜故乡。
婉约,画舸停桡。槿花篱外竹横桥。水上游人沙上女，回顾，笑指芭蕉林里住。
婉约,香到醮醵送晚凉，待风轻约薄罗裳。曲阑凭遍思偏长。自是幽情慵卷幌，不关春色恼人肠。误他双燕未归梁。
婉约,五月南塘水满，吹断，鲤鱼风。小娘停棹濯纤指，水底，见花红。
豪放,昨夜寒蛩不住鸣。惊回千里梦，已三更。起来独自绕阶行。人悄悄，帘外月胧明。白首为功名。旧山松竹老，阻归程。欲将心事付瑶琴。知音少，弦断有谁听。
婉约,竹里风生月上门。理秦筝，对云屏。轻拨朱弦，恐乱马嘶声。含恨含娇独自语：今夜约，太迟生！
婉约,名园花正好，娇红殖白，百态竞春妆。笑痕添酒晕。丰脸凝脂，谁为试铝霜。诗朋酒伴，趁此日流转风光。尽夜游不妨秉烛，未觉是疏狂。茫茫。一年一度，烂漫离披，似长江去浪。要教啼莺语燕，不怨卢郎。问春春道何曾去，任蜂蝶飞过东墙。君看取，年年潘令河阳。
婉约,堵莲红乱风翻雨。雨翻风乱红莲堵。深处宿幽。幽宿处深。淡妆秋水鉴。鉴水秋妆淡。明月思人情。情人思月明。
婉约,雨恨云愁，江南依旧称佳丽。水村渔市，一缕孤烟细。天际征鸿，遥认行如缀。平生事，此时凝睇，谁会凭栏意
豪放,醉里挑灯看剑，梦回吹角连营。八百里分麾下炙，五十弦翻塞外声。沙场秋点兵。  马作的卢飞快，弓如霹雳弦惊。了却君王天下事，赢得生前身后名。可怜白发生！
婉约,漠漠春芜春不住，藤刺牵衣，碍却行人路。偏是无情偏解舞，蒙蒙扑面皆尺絮。绣院深沈谁是主？一朵孤花，墙角明如许！莫怨无人来折枝，花开不合阳春暮。
婉约,深院静，小庭空，断续寒砧断续风。无奈夜长人不寐，数声和月到帘栊。
婉约,小砑红绫纸。一字一行春泪。封了更亲题，题了又还折起。归来？归来？好个瘦人天气。
豪放,碧云天，黄叶地，秋色连波，波上寒烟翠。山映斜阳天接水，芳草无情，更在斜阳外。  黯乡魂，追旅思，夜夜除非，好梦留人睡。明月楼高休独倚，酒入愁肠，化作相思泪。
豪放,人天无据，被侬留得香魂住。如梦如烟，枝上花开又十年！十年千里，风痕雨点斓斑里。莫怪怜他，身世依然是落花。
婉约,小鬟衫着轻罗，发如螺，睡起钗偏髻倒唤娘梳。心上事，春前景，闷中过，打叠闲情别绪教鹦哥。
豪放,黄金榜上。偶失龙头望。明代暂遗贤，如何向。未遂风云便，争不恣狂荡。何须论得丧。才子词人，自是白衣卿相。  烟花巷陌，依约丹青屏障。幸有意中人，堪寻访。且恁偎红倚翠，风流事、平生畅。青春都一饷。忍把浮名，换了浅斟低唱。
婉约,诗句一春浑漫与，纷纷红紫尘土。楼外垂杨千万缕。风落絮，栏干倚遍空无语。毕竟春归何处所，树头树底无寻处。唯有闲愁将不去，依旧住，伴人直到黄昏雨。
婉约,此恨何时已。滴空阶、寒更雨歇，葬花天气。三载悠悠魂梦杳，是梦久应醒矣。料也觉、人间无味。不及夜台尘土隔，冷清清、一片埋愁地。钗钿约，竟抛弃。重泉若有双鱼寄。好知他、年来苦乐，与谁相倚。我自中宵成转侧，忍听湘弦重理。待结个、他生知己。还怕两人俱薄命，再缘悭、剩月零风里。清泪尽，纸灰起。
豪放,"烧灯节,朝京道上风和雪。风和雪,江山如旧,朝京人绝。百年短短兴亡别,与君犹对当时月。当时月,照人烛泪,照人梅发。"
婉约,十里青山远，潮平路带沙。数声啼鸟怨年华。又是凄凉时候在天涯。白露收月，清风散晚霞。绿杨堤畔问荷花：记得年时沽酒、那人家？
婉约,关山梦里，归来还又、岁华催晚。马影鸡声，谙尽倦邮荒馆。绿密记多情事，一看一回肠断。待殷勤寄与，旧游莺燕，水流云散。满罗衫是酒，香痕凝处，唾碧啼红相半。只恐梅花，瘦倚夜寒谁暖？不成便没相逢日，重整钗鸾筝雁。何郎，纵有春风词笔，病怀浑懒。
豪放,四十年来家国，三千里地山河。凤阁龙楼连霄汉，玉树琼枝作烟梦。几曾识干戈。  一旦归为臣虏，沈腰潘鬓销磨。最是仓皇辞庙日，教坊犹奏别离歌。挥泪对宫娥。
豪放,丙辰中秋，欢饮达旦，大醉，作此篇，兼怀子由。(序)  明月几时有，把酒问青天。不知天上宫阙，今夕是何年。我欲乘风归去，又恐琼楼玉宇，高处不胜寒。起舞弄清影，何似在人间？  转朱阁，低绮户，照无眠。不应有恨，何事长向别时圆？人有悲欢离合，月有阴晴圆缺，此事古难全。但愿人长久，千里共婵娟。
豪放,兴亡千古繁华梦，诗眼倦天涯。孔林乔木，吴宫蔓草，楚庙寒鸦。数间茅舍，藏书万卷，投老村家。山中何事？松花酿酒，春水煎茶。
豪放,"春醒薄,梦中毯马豪如昨。豪如昨,月明横笛,晓寒吹角。古来成败难描摸,而今却悔当时错。当时错,铁衣犹在,不堪重著。"
豪放,官舍悄，坐到月西斜。永夜招声悲自语，客心愁破正思家。南北各天涯。肠断裂，搔首一长嗟。绮席象床寒玉枕，美人何处醉黄花。和泪捻琵琶。
婉约,陌上风光浓处。第一寒梅先吐。待得春来也，香消减，态凝伫。百花休漫妒。
豪放,日月跳丸，光阴脱兔，登临不用深怀古。向来吹帽插花人，尽随残照西风去。老矣征衫，飘然客路，炊烟三两人家住。欲携斗酒答秋光，山深无觅黄花处。
婉约,飞絮飞花何处是？层冰积雪摧；疏疏一树五更寒。爱他明月好，憔悴也相关。最是繁丝摇落后，转教人忆春山。湔裙梦断续应难。西风多少恨，吹不散眉弯。
豪放,一带江山如画，风物向秋潇洒。水浸碧天何处断？霁色冷光相射。蓼屿荻花洲，掩映竹篱茅舍。  云际客帆高挂，烟外酒旗低亚。多少六朝兴废事，尽入渔樵闲话。怅望倚层楼，寒日无言西下。
豪放,鸡鸣风雨潇潇，侧身天地无刘表。啼鹃迸泪，落花飘恨，断魂飞绕。月暗云霄，星沉烟水，角声清袅。问登楼王粲，镜中白发，今宵又添多少。  极目乡关何处？渺青山、髻螺低小。几回好梦，随风归去，被渠遮了。宝瑟弦僵，玉笙指冷，冥鸿天杪。但侵阶莎草，满庭绿树，不知昏晓。
婉约,寒风料峭侵窗户，垂帘懒向回廊步。月色入高楼，相思两处愁。无边家国事，并入双蛾翠。若遇早梅开，一枝应寄来！
婉约,辛亥之冬，余载雪诣石湖。止既月，授简索句，且征新声，作此两曲，石湖把玩不已，使二妓肆习之，音节谐婉，乃名之曰《暗香》、《疏影》。苔枝缀玉，有翠小小，枝上同宿。客里相逢，篱角黄昏，无言自倚修竹。昭君不惯胡沙远，暗忆、江南江北。想佩环、月夜归来，化作此花幽独。犹记深宫旧事，那人正睡里，飞近蛾绿。莫似春风，不管盈盈，早与安排金屋。还教一片随波去，又却怨、玉龙哀曲。等恁时、重觅幽香，已入小窗横幅。
婉约,东风荡飕轻云缕，时送潇潇雨。水边台榭燕新归，一点香泥，湿带落花飞。海棠糁径铺香绣，依旧成春瘦。黄昏庭院柳啼鸦，记得那人，和月折梨花。
豪放,大别我知友，突兀起西州。十年重见，依旧秀色照清眸。常记站琦狂客，邀我登楼雪霁，杖策拥羊裘。山吐月千仞，残夜水明楼。黄粱梦，未觉枕，几经秋。与君邂逅，相逐飞步碧山头。举酒一觞今古，叹息英雄骨冷，清泪不能收。鹦鹉更谁赋，遗恨满芳州。
婉约,玉纤暗数佳期近。已到也、忽生幽恨。恨无端、添叶与青梧，倒减却、黄杨一寸。天公定亦怜娇俊念儿女、经年愁损。早收回、溽暑换清商。翻借作，兰秋重闰。
豪放,凭高眺远，见长空万里，云无留迹。桂魄飞来光射处，冷浸一天秋碧。玉宇琼楼，乘鸾来去，人在清凉国。江山如画，望中烟树历历。我醉拍手狂歌，举杯邀月，对影成三客。起舞徘徊风露下，今夕不知何夕。便欲乘风，翻然归去，何用骑鹏翼。水晶宫里，一声吹断横笛。
婉约,飞雪过江来，船在赤栏桥侧。为报布帆无恙，著两行亲札从今日日在南楼，鬓自此时白。一咏一觞谁共，负平生书册。
婉约,春已半，触目此情无限。十二栏干闲倚遍，愁来天不管。好是风和日暖，输与莺莺燕燕。满院落花帘不卷，断肠芳草远。
婉约,柳丝碧，柳下人家寒食。莺语匆匆花寂寂，玉阶春薛湿。闭凭熏笼无力，心事有谁知得？檀炷绕窗灯背壁，画檐雨滴。
豪放,秋雨一何碧，山色倚晴空。江南江北愁思，分付酒螺红。芦叶篷舟千重，菰菜纯羹一梦，无语寄归鸿。醉眼渺河洛，遗恨夕阳中。  苹洲外，山欲瞑，敛眉峰。人间俯仰陈迹，叹息两仙翁。不见当时杨柳，只是从前烟雨，磨灭几英雄。天地一孤啸，匹马又西风。
婉约,杏花村馆酒旗风。水溶溶。扬红。野渡舟横，杨柳绿浓。望断江南山色远，人不见，草连空。夕阳楼外晚烟笼。粉香融。淡眉峰。记得年时，相见画屏中。只有关山今夜月，千里外，素光同何。
豪放,江南忆，其次忆吴宫。吴酒一杯春竹叶，吴娃双舞醉芙蓉。早晚复相逢？
婉约,燕子呢喃，景色乍长春昼。睹园林万花如绣。海棠经雨胭脂透。柳展宫眉，翠拂行人首。向郊原踏春，恣歌携手。醉醺醺尚寻芳酒。问牧童遥指孤村，道杏花深处，那里人家有。
婉约,月华收，云淡霜天曙。西征客、此时情苦。翠娥执手，送临歧、轧轧开朱户。千娇面、盈盈伫立，无言有泪，断肠争忍回顾？一叶兰舟，便恁急桨凌波云。贪行色，岂知离绪。万般方寸，饮恨、脉脉同谁语？更回首、重城不见，寒江天外，隐隐两三烟村。
婉约,春波软荡红楼水，多时不放莺儿起。一样夕阳天，留寒待禁烟已是人消瘦，只此情依旧。可奈别离何，明朝杨柳多。
婉约,轻池馆水平桥，一番弄雨花梢。微寒著处不胜娇，此际魂销。忆昔青门堤外，粉香零乱朝朝。玉颜寂寞淡红飘，无那今宵。
婉约,丙辰岁，与张功父会饮张达可之堂。闻屋壁间蟋蟀有声，功父约予同赋，以授歌者。功父先成，辞甚美。予裴回末利花间，仰见秋月，顿起幽思，寻亦得此。蟋蟀，中都呼为促织，善斗。好事者或以三二十万钱致一枚，镂象齿为楼观以贮之。庾郎先自吟愁赋，凄凄更闻私语。露湿铜铺，苔侵石井，都是曾听伊处。哀音似诉。正思妇无眠，起寻机杼。曲曲屏山，夜凉独自甚情绪？西窗又吹暗雨。为谁频断续，相和砧杵？候馆迎秋，离宫吊月，别有伤心无数。豳诗漫与。笑篱落呼灯，世间儿女。写入琴丝，一声声更苦。
豪放,滩头细草接疏林，浪恶曾知半欲沈。宿鹭眠鸥飞旧浦，去年沙首是江心。
婉约,情深意真，眉长鬓青。小楼明月调筝。写春风数声。思君忆君，魂牵梦萦。翠绡香媛云屏。更那堪酒醒。
婉约,闲院静，独自行来行去。花片无声帘外雨，峭寒生碧树。做弄清明时序，料理春醒情绪。忆得归时停棹处，画桥看落絮。
豪放,山下兰芽短浸溪，松间沙路净无泥。潇潇暮雨子规啼。谁道人生无再少？门前流水尚能西！休将白发唱黄鸡。
豪放,壮岁从戎，曾是气吞残虏。阵云高、狼烽夜举。朱颜青鬓，拥雕戈西戍。笑儒冠、自来多误。  功名梦断，却泛扁舟吴楚。漫悲歌、伤怀吊古。烟波无际，望秦关何处。叹流年、又成虚度。
豪放,风乍起，吹皱一池春水。闲引鸳鸯香径里，手按红杏蕊。  斗鸭阑干独倚，碧玉搔头斜坠。终日望君君不至，举头闻鹊喜。
婉约,手里金鹦鹉，胸前绣凤凰。偷眼暗形相，不如从嫁与，作鸳鸯。
豪放,归去来兮，吾归何处？万里家在岷峨。百年强半，来日苦无多。坐见黄州再闰，儿童尽、楚语吴歌。山中友、鸡豚社酒，相劝老东坡。云何，当此去？人生底事，来往如梭！待闲看，秋风洛水清波。好在堂前细柳，应念我、莫剪柔柯。仍传语，江南父老，时与晒渔蓑。
婉约,青粉墙西，紫骤嘶过垂杨道。画楼春早，一树桃花笑。前梦迷离，人远波声小。年时到，越溪云杳，风雨连天草。
婉约,伫倚危楼风细细。望极春愁，黯黯生天际。草色烟光照里，无言谁会凭栏意。拟把疏狂图一醉。对酒当歌，强乐还无味。衣带渐宽终不悔，为伊消得人憔悴。
婉约,寒气暗侵帘幕，孤负芳春小约。庭梅开遍不归来，直恁心情恶。独抱影儿眠，背看灯花落。待他重与画眉时，细数郎轻薄
婉约,空园数日无芳信，恻恻寒犹未定。柳边丝雨燕归迟，花外小楼帘影静。凭栏渐觉春光暝，怅望碧天帆去尽。满限芳草不成归，斜日画桥烟水冷。
豪放,石头城上，望天低吴楚，眼空无物。指点六朝形胜地，唯有青山如壁。蔽日旌旗，连云樯橹，白骨纷如雪。一江南北，消磨多少豪杰。  寂寞避暑离宫，东风辇路，芳草年年发。落日无人松径里，鬼火高低明灭。歌舞尊前，繁华镜里，暗换青青发。伤心千古，秦淮一片明月！
婉约,秀樾横塘十里香，水光晚色静年芳。燕支肤瘦薰沉水，翡翠盘高走夜光。山黛远，月波长，幕云秋影照潇湘。醉魂应逐凌波梦，分付西风此夜凉。
婉约,凉月沉沉花漏冻，欹枕无眠，渐觉荒鸡动。此际闲愁郎不共，月移窗罅春寒重。忆共锦衾无半缝，郎似桐花，妾似桐花凤。往事迢迢徒入梦，银筝断续连珠弄。
婉约,一幅云蓝一叶舟，隔江山色镜中收。夕阳芳草满汀洲。客里莺花繁似锦，春来情思腻于油。兰桡扶梦驻东流。
婉约,江南好，风景旧曾谙。日出江花红胜火，春来江水绿如蓝。能不忆江南。
婉约,风悲画角，听单于三弄落谯门。投宿骎骎征骑，飞雪满孤村。酒市渐阑灯火，正敲窗、乱叶舞纷纷。送数声惊雁，乍离烟水，嘹唳度寒云。好在半胧淡月，到如今、无处不消魂。故国梅花归梦，愁损绿罗裙。为问暗香闲艳，也相思、万点付啼痕。算翠屏应是，两眉余恨倚黄昏。
婉约,丁未冬，过吴松作燕雁无心，太湖西畔随云去。数峰清苦。商略黄昏雨。第四桥边，拟共天随住。今何许？凭阑怀古，柳参差舞。
婉约,漠漠秋云澹，红藕香侵槛。枕倚小山屏，金铺向晚扃。睡起横波慢，独望情何限！衰柳数声蝉，魂销似去年。
豪放,渔翁夜傍西岩宿，晓汲清湘燃楚竹。烟消日出不见人，软乃一声山水绿。
豪放,昼渡黄河水，将军险用师。雪光偏著甲，风力不禁旗。阵变龙蛇活，军雄鼓角知。今朝重起舞，记得战酣时。
豪放,深阁帘垂绣。记家人、软语灯边，笑涡红透。万叠城头哀怨角，吹落霜花满袖。影厮伴、东奔西走。望断乡关知何处，羡寒鸦、到著黄昏后。一点点，归杨柳。相看只有山如旧。叹浮云、本是无心，也成苍狗。明日枯荷包冷饭，又过前头小阜。趁未发、且尝村酒。醉探楞囊毛锥在，问邻翁、要写牛经否。翁不应，但摇手。
婉约,安远楼小集，侑觞歌板之姬黄其姓者，乞词于龙洲道人，为赋《唐多令》。同柳阜之、刘去非、石民瞻、周嘉仲、陈孟参、孟客，时八月十五日也。芦叶满汀洲，寒沙带浅流。二十年、重过南楼。柳下系舟犹未稳，能几日、又中秋。黄鹤断矶头，故人今在否？旧江山、浑是新愁。欲买桂花同载酒，终不似、少年游。
婉约,古庙依青嶂，行宫枕碧流。水声山色锁妆楼，往事思悠悠。云雨朝还暮，烟花春复秋。啼猿何必近孤舟。行客自多愁
豪放,从商帅国器猎，同裕之赋。（序）  短衣匹马清秋，惯曾射虎南山下。西风白水，石鲸鳞甲，山川图画。千让头发太古神州，一时胜业，宾僚儒雅。快长堤万弩，平冈千  骑，波涛卷，鱼龙夜。  落日孤城鼓角，笑归来，长围初罢。风云惨淡，貔貅得意，旌旗闲暇。万里天河，更须一洗，中原兵马。看鞬橐呜咽，咸阳道左，拜西还驾。
婉约,征鸿过尽秋容谢，卷离恨、还东下。剪剪霜风落平野。溪山掩映，水烟摇曳，几簇渔樵舍。芙蓉城里人如画，春伴春游夜转夜。别后知他何如也。心随云乱，眼随天断，泪逐长江泻。
豪放,寒山几堵，风低削碎中原路。秋空一碧无今古，醉袒貂裘，略记寻呼处。  男儿身手和谁赌，老来猛气还轩举。人间多少闲狐兔，月黑沙黄，此际偏思汝。
豪放,杨白花，风吹渡江水。  坐令宫树无颜色，摇荡春光千万里。  茫茫晓日下长秋，哀歌未断城鸦起。
婉约,烛影摇红，向夜阑，乍酒醒、心情懒。尊前谁为唱阳关，离恨天涯远。无奈云沉雨散，凭阑干、东风泪眼。海棠开后，燕子来时，黄昏庭院。
豪放,天然一帧荆关画，谁打稿，斜阳下？历历水残山剩也。乱鸦千点，落鸿孤咽，中有渔樵话。  登临我亦悲秋者，向蔓草平原泪盈把。自古有情终不化。青娥冢上，东风野火，烧出鸳鸯瓦。
婉约,剪鲛绡，传燕语，黯黯碧草暮。愁望春归，春到更无绪。园林红紫千千，放教狼藉，休怨、连番风雨。谢桥路，十载重约钿车，惊心旧游误。玉佩尘生，此恨奈何许！倚楼极目天涯，天涯尽处，算只有漾漾飞絮。
豪放,弹铁西来路。记匆匆、经行十日，几番风雨。梦里寻秋秋不见，秋在平芜远树。雁信落、家山何处？万里西风吹客鬓，把菱花、自笑人如许。留不住、少年去。男儿事业无凭据。记当年、悲歌击楫，酒酣箕踞。腰下光芒三尺剑，时解挑灯夜语。谁更识、此时情绪？唤起杜陵风月手，写江东渭北相思句。歌此恨，慰羁旅。
豪放,富贵本无心，何事故乡轻别？空使猿惊鹤怨，误薜萝秋月。  囊锥刚要出头来，不道甚时节！欲驾巾车归去，有豺狼当辙！
婉约,驿朝云横度，辘辘车声如水去。白草黄沙，月照孤村三两家。飞鸿过也，百结愁肠无昼夜。渐近燕山，回首乡关归路难。
婉约,花底忽闻敲两桨，逡巡女伴来访。酒盏旋将荷叶当。莲舟荡，时时盏里生红浪。气酒香清厮酿。花腮酒面红相向。醉倚绿眠一饷。惊起望，船头阁在沙滩上。
婉约,苜蓿阑干满上林，西风秣独沉吟。遗台何处是黄金？空阔已无千里志，驰驱枉抱百年心。夕阳山影自萧森。
婉约,芭蕉不展丁香结，匆匆过了春三。罗衣花下倚娇憨。玉人吹笛，眼底是江南。最是酒阑人散后，疏风拂面微酣。树犹如此我何堪？离亭杨柳，凉月照毵毵。
豪放,风高浪快，万里骑蟾背。曾识姮娥真体态，素面原无粉黛。身游银阙珠宫，俯看积气。醉里偶摇桂树，人间道是凉风。
婉约,烛消红，窗送白，冷落一衾寒色。鸦唤起，马驮行，月来衣上明。酒香唇，妆印臂，忆共个人春睡。魂蝶乱，梦鸾孤，知他睡也无？
婉约,语燕鸣鸠白昼长。黄蜂紫蝶草花香。沧江依旧绕斜阳。泛水浮萍随处满，舞风轻絮霎时狂。清和院宇麦秋凉。
豪放,登黄鹤楼有感遥望中原，荒烟外、许多城郭。想当年、花遮楼护，凤楼龙阁。万岁山前珠翠绕，蓬壶殿里笙歌作。到而今、铁骑满郊畿，风尘恶。兵安在，膏锋铐；民安在，填沟壑。叹江山如故，千树寥落。何日请缨提锐旅，一鞭直渡清河洛？却归来、再续汉阳游，骑黄鹤。
